homelat,homelon,homecontinent,n
-25.274398,133.775136,Australia,22
23.684994,90.356331,Bangladesh,7
-14.235004,-51.92528,Brazil,5
12.565679,104.990963,Cambodia,5
56.130366,-106.346771,Canada,42
35.86166,104.195397,China,180
4.570868,-74.297333,Colombia,6
25.2048,55.2708,Dubai,3
58.595272,25.013607,Estonia,2
-16.578193,179.414413,Fiji,4
61.92411,25.748151,Finland,3
51.165691,10.451526,Germany,27
7.946527,-1.023194,Ghana,2
52.1326,5.2913,Holland,4
22.396428,114.109497,Hong Kong,149
47.162494,19.503304,Hungary,9
20.593684,78.96288,India,41
-0.789275,113.921327,Indonesia,143
36.204824,138.252924,Japan,415
4.210484,101.975766,Malaysia,167
23.634501,-102.552784,Mexico,25
21.913965,95.956223,Myanmar,14
28.394857,84.124008,Nepal,14
52.132633,5.291266,Netherlands,15
9.082,8.6753,Nigeria,2
30.375321,69.345116,Pakistan,9
12.879721,121.774017,Philippines,48
51.919438,19.145136,Poland,5
1.5533,10.3592,Sarawak,3
1.352083,103.819836,Singapore,127
35.907757,127.766922,South Korea,333
60.128161,18.643501,Sweden,3
23.69781,120.960515,Taiwan,259
15.870032,100.992541,Thailand,193
55.378051,-3.435973,UK,69
37.09024,-95.712891,United States,351
14.058324,108.277199,Vietnam,110